\begin{table}
\begin{tabular}{cccccccc}
field & ID & HLx & lbol & BHAR_xray & M_med & zbest & BHAR \\
EGS & 20207 & 42.97115 & 44.4639375 & -1.33502332379 & 10.6506 & 2.0 & -0.922579161519 \\
EGS & 26048 & 43.60846 & 45.260575 & -0.538385823789 & 10.5236 & 2.004 & -0.998215515524 \\
EGS & 7343 & 43.51829 & 45.1478625 & -0.651098323789 & 10.7789 & 2.004 & -0.842066661519 \\
EGS & 28590 & 43.30043 & 44.8755375 & -0.923423323789 & 10.8235 & 2.025 & -0.0547998754198 \\
UDS & 6244 & 43.66503 & 45.3312875 & -0.467673323789 & 10.4099331233 & 2.026 & -0.892916661519 \\
EGS & 20916 & 43.65076 & 45.31345 & -0.485510823789 & 10.6789 & 2.047 & -0.467431937611 \\
EGS & 23205 & 43.32785 & 44.9098125 & -0.889148323789 & 11.2227 & 2.071 & -0.582940515524 \\
EGS & 12139 & 43.63889 & 45.2986125 & -0.500348323789 & 10.5545 & 2.094 & -0.926816661519 \\
GDS & 16151 & 43.6055 & 45.256875 & -0.542085823789 & 10.68 & 2.113 & -0.429396627611 \\
EGS & 5769 & 43.70929 & 45.3866125 & -0.412348323789 & 10.2269 & 2.113 & -0.977028015524 \\
GDS & 23845 & 43.10936 & 44.6367 & -1.16226082379 & 10.93 & 2.118 & -0.833591661519 \\
EGS & 25945 & 43.85514 & 45.568925 & -0.230035823789 & 10.6236 & 2.124 & -0.921940515524 \\
EGS & 13706 & 43.31709 & 44.8963625 & -0.902598323789 & 10.7403 & 2.132 & -0.816003015524 \\
EGS & 23104 & 43.56118 & 45.201475 & -0.597485823789 & 10.635 & 2.138 & -0.892748153092 \\
COS & 4490 & 44.24654 & 46.058175 & 0.259214176211 & 9.96232 & 2.146 & -0.628456937611 \\
EGS & 12438 & 43.04898 & 44.561225 & -1.23773582379 & 10.6984 & 2.165 & -0.412344437611 \\
EGS & 2453 & 43.8508 & 45.5635 & -0.235460823789 & 11.4818 & 2.165 & -0.0209560380795 \\
EGS & 29548 & 44.07479 & 45.8434875 & 0.0445266762109 & 10.4685 & 2.18 & -0.170909127611 \\
EGS & 12344 & 43.59046 & 45.238075 & -0.560885823789 & 10.8625 & 2.192 & -0.871729161519 \\
COS & 26041 & 43.76283 & 45.4535375 & -0.345423323789 & 11.1197 & 2.199 & -0.0970809872278 \\
COS & 7154 & 43.92741 & 45.6592625 & -0.139698323789 & 10.9749 & 2.2 & -0.323459127611 \\
EGS & 2543 & 43.62026 & 45.275325 & -0.523635823789 & 11.277 & 2.214 & -0.638666661519 \\
EGS & 8816 & 43.86873 & 45.5859125 & -0.213048323789 & 10.3275 & 2.217 & -0.710704161519 \\
GDS & 16274 & 42.93561 & 44.4195125 & -1.37944832379 & 11.22 & 2.225 & -0.19893103808 \\
COS & 10289 & 44.13076 & 45.91345 & 0.114489176211 & 11.296 & 2.239 & -0.714303015524 \\
UDS & 5127 & 44.11616 & 45.8952 & 0.0962391762109 & 10.4313637642 & 2.239 & -0.811765515524 \\
\end{tabular}
\end{table}
