\begin{table}
\begin{tabular}{cccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & sSFR & dist_MS & dist_MS_lin \\
COS & 12677 & 10.7121 & 0.882 & 5.28 & 0.2 & 11.24 & 0.401 & 0.0194 & 43.1105466956 & 44.8142368546 & 1.46744936838 & 43.2434753298 & 44.8043441623 & -0.994616661519 & -9.24465063162 & -11.0452935643 & -10.8776243121 \\
COS & 19184 & 9.78131 & 0.882 & 4.62 & 0.1 & 10.82 & 0.12 & 0.0031 & 41.8941066595 & 44.4013965617 & 1.05460907546 & 42.8311021576 & 44.288877697 & -1.51008312682 & -8.72670092454 & -10.5273438572 & -10.359674605 \\
COS & 7510 & 10.102 & 0.882 & 4.62 & 0.2 & 10.83 & 0.166 & 0.0194 & 42.7005466956 & 44.4042368546 & 1.05744936838 & 43.1044853298 & 44.6306066623 & -1.16835416152 & -9.04455063162 & -10.8451935643 & -10.6775243121 \\
COS & 23586 & 9.97717 & 0.883 & 4.62 & 0.2 & 11.05 & 0.204 & 0.0194 & 42.9205466956 & 44.6242368546 & 1.27744936838 & 43.1790653298 & 44.7238316623 & -1.07512916152 & -8.69972063162 & -10.5003635643 & -10.3326943121 \\
COS & 18919 & 10.168 & 0.883 & 4.62 & 0.2 & 10.77 & 0.129 & 0.0194 & 42.6405466956 & 44.3442368546 & 0.997449368377 & 43.0841453298 & 44.6051816623 & -1.19377916152 & -9.17055063162 & -10.9711935643 & -10.8035243121 \\
COS & 18980 & 10.3247 & 0.884 & 4.62 & 0.1 & 10.96 & 0.152 & 0.0031 & 42.0341066595 & 44.5413965617 & 1.19460907546 & 42.8785621576 & 44.348202697 & -1.45075812682 & -9.13009092454 & -10.9307338572 & -10.763064605 \\
COS & 24913 & 9.87695 & 0.884 & 4.62 & 0.3 & 10.59 & 0.089 & 0.0489 & 42.8620538248 & 44.1509711474 & 0.804183661141 & 43.1592362466 & 44.6990453083 & -1.09991551552 & -9.07276633886 & -10.8734092716 & -10.7057400193 \\
COS & 17831 & 11.1126 & 0.885 & 4.62 & 0.3 & 10.73 & 0.138 & 0.0489 & 43.0020538248 & 44.2909711474 & 0.944183661141 & 43.2066962466 & 44.7583703083 & -1.04059051552 & -10.1684163389 & -11.9690592716 & -11.8013900193 \\
COS & 2891 & 9.61625 & 0.886 & 3.5 & 0.7 & 10.75 & 0.156 & 0.2989 & 43.8082708807 & 44.1785249328 & 0.831737446579 & 43.4800038286 & 45.1000047857 & -0.69895603808 & -8.78451255342 & -10.5851554861 & -10.4174862339 \\
COS & 26446 & 9.73897 & 0.8885 & 4.62 & 0.1 & 10.54 & 0.061 & 0.0031 & 41.6141066595 & 44.1213965617 & 0.774609075465 & 42.7361821576 & 44.170227697 & -1.62873312682 & -8.96436092454 & -10.7650038572 & -10.597334605 \\
COS & 16199 & 11.1446 & 0.889 & 4.62 & 0.1 & 11.64 & 0.562 & 0.0031 & 42.7141066595 & 45.2213965617 & 1.87460907546 & 43.1090821576 & 44.636352697 & -1.16260812682 & -9.26999092454 & -11.0706338572 & -10.902964605 \\
COS & 13782 & 9.23862 & 0.89 & 3.96 & 0.4 & 10.54 & 0.048 & 0.0916 & 43.0846404394 & 44.0810220912 & 0.734234605014 & 43.2346931089 & 44.7933663862 & -1.00559443761 & -8.50438539499 & -10.3050283277 & -10.1373590754 \\
COS & 28514 & 10.2123 & 0.89 & 4.62 & 0.3 & 10.4 & 0.123 & 0.0489 & 42.6720538248 & 43.9609711474 & 0.614183661141 & 43.0948262466 & 44.6185328083 & -1.18042801552 & -9.59811633886 & -11.3987592716 & -11.2310900193 \\
COS & 20322 & 10.6216 & 0.89 & 3.5 & 0.2 & 10.9 & 0.122 & 0.0194 & 42.7705466956 & 44.4742368546 & 1.12744936838 & 43.1282153298 & 44.6602691623 & -1.13869166152 & -9.49415063162 & -11.2947935643 & -11.1271243121 \\
COS & 19499 & 9.71477 & 0.89 & 3.96 & 0.3 & 10.65 & 0.052 & 0.0489 & 42.9220538248 & 44.2109711474 & 0.864183661141 & 43.1795762466 & 44.7244703083 & -1.07449051552 & -8.85058633886 & -10.6512292716 & -10.4835600193 \\
COS & 20691 & 10.0805 & 0.895 & 4.62 & 0.5 & 11.34 & 0.276 & 0.1475 & 44.091536986 & 44.8534393534 & 1.50665186713 & 43.5760310383 & 45.2200387978 & -0.578922025969 & -8.57384813287 & -10.3744910656 & -10.2068218133 \\
COS & 1110 & 9.62488 & 0.896 & 4.62 & 0.1 & 10.12 & 0.024 & 0.0031 & 41.1941066595 & 43.7013965617 & 0.354609075465 & 42.5938021576 & 43.992252697 & -1.80670812682 & -9.27027092453 & -11.0709138572 & -10.903244605 \\
COS & 27359 & 10.5761 & 0.897 & 4.62 & 0.3 & 10.67 & 0.198 & 0.0489 & 42.9420538248 & 44.2309711474 & 0.884183661141 & 43.1863562466 & 44.7329453083 & -1.06601551552 & -9.69191633886 & -11.4925592716 & -11.3248900193 \\
COS & 27787 & 9.68893 & 0.897 & 5.28 & 0.3 & 10.61 & 0.081 & 0.0489 & 42.8820538248 & 44.1709711474 & 0.824183661141 & 43.1660162466 & 44.7075203083 & -1.09144051552 & -8.86474633886 & -10.6653892716 & -10.4977200193 \\
COS & 8990 & 9.47346 & 0.897 & 4.62 & 0.4 & 10.71 & 0.071 & 0.0916 & 43.2546404394 & 44.2510220912 & 0.904234605014 & 43.2923231089 & 44.8654038862 & -0.933556937611 & -8.56922539499 & -10.3698683277 & -10.2021990754 \\
COS & 21875 & 10.6981 & 0.899 & 5.28 & 0.3 & 11.64 & 0.802 & 0.0489 & 43.9120538248 & 45.2009711474 & 1.85418366114 & 43.5151862466 & 45.1439828083 & -0.654978015524 & -8.84391633886 & -10.6445592716 & -10.4768900193 \\
COS & 19748 & 10.7455 & 0.9 & 3.96 & 0.5 & 10.66 & 0.214 & 0.1475 & 43.411536986 & 44.1734393534 & 0.826651867131 & 43.3455110383 & 44.9318887978 & -0.867072025969 & -9.91884813287 & -11.7194910656 & -11.5518218133 \\
COS & 16487 & 10.2362 & 0.9 & 5.28 & 0.5 & 10.93 & 0.111 & 0.1475 & 43.681536986 & 44.4434393534 & 1.09665186713 & 43.4370410383 & 45.0463012978 & -0.752659525969 & -9.13954813287 & -10.9401910656 & -10.7725218133 \\
