\begin{table}
\begin{tabular}{ccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & distance & unitless_dist \\
UDS & 3554 & 10.0253058653 & 0.807 & 4.6199999 & 0.1 & 11.5 & 0.411 & 0.0031 & 42.5741066595 & 45.0813965617 & 1.73460907546 & 43.0616221576 & 44.577027697 & -1.22193312682 & 1573.41252895 & 3.1968426041 \\
EGS & 4794 & 10.3511 & 0.807 & 5.28 & 0.2 & 10.93 & 0.191 & 0.0194 & 42.8005466956 & 44.5042368546 & 1.15744936838 & 43.1383853298 & 44.6729816623 & -1.12597916152 & 1573.41252895 & 3.1968426041 \\
EGS & 29569 & 8.90587 & 0.8078 & 3.96 & 0.3 & 10.0 & 0.026 & 0.0489 & 42.2720538248 & 43.5609711474 & 0.214183661141 & 42.9592262466 & 44.4490328083 & -1.34992801552 & 1573.94576787 & 3.19698976416 \\
EGS & 20538 & 9.92564 & 0.808 & 10.56 & 0.4 & 10.95 & 0.226 & 0.0916 & 43.4946404394 & 44.4910220912 & 1.14423460501 & 43.3736831089 & 44.9671038862 & -0.831856937611 & 1574.07891421 & 3.1970265013 \\
EGS & 2146 & 9.89026 & 0.8084 & 5.28 & 0.1 & 10.56 & 0.063 & 0.0031 & 41.6341066595 & 44.1413965617 & 0.794609075465 & 42.7429621576 & 44.178702697 & -1.62025812682 & 1574.345011 & 3.19709991224 \\
EGS & 28269 & 9.47885 & 0.809 & 10.56 & 0.1 & 10.67 & 0.066 & 0.0031 & 41.7441066595 & 44.2513965617 & 0.904609075465 & 42.7802521576 & 44.225315197 & -1.57364562682 & 1574.74366687 & 3.19720987043 \\
COS & 19671 & 9.95086 & 0.81 & 4.62 & 0.1 & 10.62 & 0.073 & 0.0031 & 41.6941066595 & 44.2013965617 & 0.854609075465 & 42.7633021576 & 44.204127697 & -1.59483312682 & 1575.40679022 & 3.19739271301 \\
COS & 270 & 10.4723 & 0.81 & 4.62 & 0.2 & 11.12 & 0.162 & 0.0194 & 42.9905466956 & 44.6942368546 & 1.34744936838 & 43.2027953298 & 44.7534941623 & -1.04546666152 & 1575.40679022 & 3.19739271301 \\
UDS & 4335 & 10.1903316982 & 0.811 & 3.96 & 0.4 & 11.31 & 0.362 & 0.0916 & 43.8546404394 & 44.8510220912 & 1.50423460501 & 43.4957231089 & 45.1196538862 & -0.679306937611 & 1576.06828754 & 3.19757503058 \\
UDS & 9067 & 9.56110138365 & 0.811 & 5.2800002 & 0.3 & 10.61 & 0.092 & 0.0489 & 42.8820538248 & 44.1709711474 & 0.824183661141 & 43.1660162466 & 44.7075203083 & -1.09144051552 & 1576.06828754 & 3.19757503058 \\
EGS & 23704 & 10.0673 & 0.813 & 3.96 & 0.2 & 10.38 & 0.167 & 0.0194 & 42.2505466956 & 43.9542368546 & 0.607449368377 & 42.9519353298 & 44.4399191623 & -1.35904166152 & 1577.38641712 & 3.19793809679 \\
EGS & 27328 & 10.1469 & 0.814 & 3.96 & 0.3 & 11.08 & 0.212 & 0.0489 & 43.3520538248 & 44.6409711474 & 1.29418366114 & 43.3253462466 & 44.9066828083 & -0.892278015524 & 1578.0430559 & 3.19811884848 \\
GDS & 21244 & 9.72 & 0.814 & 5.28 & 0.1 & 10.49 & 0.029 & 0.0031 & 41.5641066595 & 44.0713965617 & 0.724609075465 & 42.7192321576 & 44.149040197 & -1.64992062682 & 1578.0430559 & 3.19811884848 \\
COS & 12246 & 10.447 & 0.814 & 4.62 & 0.2 & 10.69 & 0.139 & 0.0194 & 42.5605466956 & 44.2642368546 & 0.917449368377 & 43.0570253298 & 44.5712816623 & -1.22767916152 & 1578.0430559 & 3.19811884848 \\
EGS & 11660 & 9.39908 & 0.8166 & 4.62 & 0.1 & 10.15 & 0.024 & 0.0031 & 41.2241066595 & 43.7313965617 & 0.384609075465 & 42.6039721576 & 44.004965197 & -1.79399562682 & 1579.74277594 & 3.19858637804 \\
EGS & 25171 & 9.95443 & 0.817 & 3.96 & 0.1 & 10.71 & 0.088 & 0.0031 & 41.7841066595 & 44.2913965617 & 0.944609075465 & 42.7938121576 & 44.242265197 & -1.55669562682 & 1580.00330715 & 3.19865799599 \\
UDS & 24504 & 10.9180303368 & 0.8201 & 3.96 & 0.3 & 11.77 & 1.236 & 0.0489 & 44.0420538248 & 45.3309711474 & 1.98418366114 & 43.5592562466 & 45.1990703083 & -0.599890515524 & 1582.01374178 & 3.19921025157 \\
COS & 25452 & 10.3 & 0.822 & 3.5 & 0.3 & 10.53 & 0.157 & 0.0489 & 42.8020538248 & 44.0909711474 & 0.744183661141 & 43.1388962466 & 44.6736203083 & -1.12534051552 & 1583.23836912 & 3.19954630627 \\
EGS & 23685 & 10.0031 & 0.8228 & 5.28 & 0.1 & 10.81 & 0.108 & 0.0031 & 41.8841066595 & 44.3913965617 & 1.04460907546 & 42.8277121576 & 44.284640197 & -1.51432062682 & 1583.75228614 & 3.1996872548 \\
EGS & 8581 & 9.88728 & 0.823 & 3.96 & 0.2 & 10.83 & 0.098 & 0.0194 & 42.7005466956 & 44.4042368546 & 1.05744936838 & 43.1044853298 & 44.6306066623 & -1.16835416152 & 1583.88060686 & 3.19972244131 \\
GDS & 1864 & 9.61 & 0.824 & 5.28 & 0.1 & 10.68 & 0.078 & 0.0031 & 41.7541066595 & 44.2613965617 & 0.914609075465 & 42.7836421576 & 44.229552697 & -1.56940812682 & 1584.52126051 & 3.19989807077 \\
UDS & 14315 & 9.54777470539 & 0.824 & 5.2800002 & 0.3 & 10.47 & 0.064 & 0.0489 & 42.7420538248 & 44.0309711474 & 0.684183661141 & 43.1185562466 & 44.6481953083 & -1.15076551552 & 1584.52126051 & 3.19989807077 \\
COS & 21317 & 9.05427 & 0.825 & 5.94 & 0.2 & 10.55 & 0.061 & 0.0194 & 42.4205466956 & 44.1242368546 & 0.777449368377 & 43.0095653298 & 44.5119566623 & -1.28700416152 & 1585.16033323 & 3.20007319609 \\
COS & 1446 & 10.2672 & 0.826 & 3.96 & 0.1 & 10.78 & 0.104 & 0.0031 & 41.8541066595 & 44.3613965617 & 1.01460907546 & 42.8175421576 & 44.271927697 & -1.52703312682 & 1585.79782819 & 3.20024781873 \\
